GitLab Branch API,Request-Response,36,2,13,0.9473684210526315,0.7346938775510204,0.8275862068965517
GitLab Commit API,Request-Response,53,4,18,0.9298245614035088,0.7464788732394366,0.8281249999999999
GitLab Groups API,Request-Response,62,3,22,0.9538461538461539,0.7380952380952381,0.832214765100671
GitLab Issues API,Request-Response,92,3,48,0.968421052631579,0.6571428571428571,0.7829787234042553
GitLab Project API,Request-Response,110,11,34,0.9090909090909091,0.7638888888888888,0.830188679245283
GitLab Repository API,Request-Response,33,3,11,0.9166666666666666,0.75,0.8250000000000001
StripeClone API,Request-Response,11,2,7,0.8461538461538461,0.6111111111111112,0.7096774193548387
Summary,Request-Response,397,28,153,0.924481658692185,0.7144872637183646,0.8051101134287999
Canada Holidays API,Response-property,4,0,2,1.0,0.6666666666666666,0.8
StripeClone API,Response-property,12,0,2,1.0,0.8571428571428571,0.923076923076923
